Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category,URL In CharityNavigator
5488,Hampton Roads Community Foundation, 101 West Main Street,http://www.hamptonroadscf.org/,4 stars,"$22,599,594 ",Public Benefit : Community Foundations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5488
5098,Hands Together, P.O. Box 80985,http://www.handstogether.org,4 stars,"$3,724,466 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5098
15176,Happy Hearts Fund, P.O. Box 725,http://happyheartsfund.org/,4 stars,"$3,040,550 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15176
13183,Harlem Academy, 1330 Fifth Avenue,http://www.harlemacademy.org/,4 stars,"$7,293,672 ",Education : Private Elementary and Secondary Schools,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13183
4398,Harlem Children's Zone, 35 East 125th Street,http://www.hcz.org/,4 stars,"$101,599,122 ",Human Services : Children's and Family Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4398
6518,Harlem RBI, 333 East 100th Street,http://www.harlemrbi.org/,4 stars,"$17,386,634 ",Human Services : Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6518
11922,Harlem Village Academies, c/o Harlem Villages Academies,http://www.harlemvillageacademies.org,4 stars,"$15,211,483 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11922
11692,The Harmony Project, 817 Vine Street,http://www.harmony-project.org,4 stars,"$2,559,789 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11692
9429,Harris Center for Conservation Education, 83 King's Highway,http://www.harriscenter.org/,4 stars,"$1,298,645 ",Environment : Botanical Gardens Parks and Nature Centers,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9429
8763,Harry Chapin Food Bank of Southwest Florida, 3760 Fowler Street,http://harrychapinfoodbank.org,4 stars,"$28,237,192 ",Human Services : Food Banks Food Pantries and Food Distribution,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8763
9905,Hartford Area Habitat for Humanity, 780C Windsor Street,,4 stars,"$4,581,770 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9905
5512,Harvest Hope Food Bank, 2220 Shop Road,,4 stars,"$45,882,871 ",Human Services : Food Banks Food Pantries and Food Distribution,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5512
3797,Harvesters: The Community Food Network, 3801 Topping Avenue,http://www.harvesters.org,4 stars,"$85,013,695 ",Human Services : Food Banks Food Pantries and Food Distribution,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3797
3576,Haverford College, 370 Lancaster Avenue,http://www.haverford.edu,4 stars,"$116,801,065 ",Education : Private Liberal Arts Colleges,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3576
3798,Hawaii Foodbank, 2611 Kilihau Street,http://www.hawaiifoodbank.org/,4 stars,"$31,068,625 ",Human Services : Food Banks Food Pantries and Food Distribution,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3798
9543,Hawaii Public Radio, 738 Kaheka Street,http://www.hawaiipublicradio.org/,4 stars,"$4,480,770 ",Arts Culture Humanities : Public Broadcasting and Media,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9543
11536,Headwaters Foundation for Social Justice, 2801 21st Ave S,http://www.headwatersfoundation.org,4 stars,"$2,691,006 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11536
5616,Healing Hands International, 455 McNally Drive,http://www.hhi.org/,4 stars,"$3,323,893 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5616
15416,Healthcare for the Homeless Houston, P.O. Box 66690,http://homeless-healthcare.org/,4 stars,"$3,075,575 ",Human Services : Homeless Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15416
12137,Heart of Los Angeles Youth, 2701 Wilshire Boulevard,http://www.heartofla.org,4 stars,"$2,851,781 ",Human Services : Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12137
3806,Heart of West Michigan United Way, 118 Commerce Avenue SW,http://www.hwmuw.org/,4 stars,"$15,415,349 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3806
3807,Heart to Heart International, 13250 W. 98th Street,http://www.hearttoheart.org,4 stars,"$118,841,266 ",International : Humanitarian Relief Supplies,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3807
5590,Heart to Honduras, 1180 Wesley Avenue,,4 stars,"$1,419,761 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5590
13232,Heaven Can Wait Sanctuary Animal Society, P.O. Box 30158,http://www.hcws.org,4 stars,"$1,061,913 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13232
13964,Hebrew Academy of Morris County, 146 Dover Chester Road,http://www.hamc.org,4 stars,"$3,811,491 ",Education : Private Elementary and Secondary Schools,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13964
10689,Hebrew Free Burial Association, 224 West 35th Street,http://www.hebrewfreeburial.org,4 stars,"$2,347,571 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10689
3810,Helen Keller International, 352 Park Avenue South,http://www.hki.org,4 stars,"$59,388,476 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3810
3811,Helen Keller Services for the Blind, 57 Willoughby Street,http://www.helenkeller.org,4 stars,"$29,056,781 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3811
14379,Helena Food Share, PO Box 943,http://helenafoodshare.org/janda/index.php,4 stars,"$2,280,750 ",Human Services : Food Banks Food Pantries and Food Distribution,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14379
5923,HelpHOPELive, 2 Radnor Corporate Center Suite 100,http://www.helphopelive.org/,4 stars,"$10,868,572 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5923
13387,Helping Children Worldwide, 14101 Parke Long Court,http://www.helpingchildrenworldwide.org,4 stars,"$1,046,208 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13387
12691,Helping Hand for Relief and Development, 12541 McDougall Street,http://www.helpinghandonline.org,4 stars,"$24,046,855 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12691
12495,Helping Hands: Monkey Helpers, 541 Cambridge Street,http://www.monkeyhelpers.org/,4 stars,"$1,682,720 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12495
7011,Henry Vilas Park Zoological Society, 606 South Randall Avenue,http://www.vilaszoo.org/,4 stars,"$2,475,479 ",Animals : Zoos and Aquariums,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7011
10607,Her Justice, 100 Broadway,http://www.herjustice.org,4 stars,"$4,031,152 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10607
3820,HIAS, 333 Seventh Avenue,http://www.hias.org,4 stars,"$27,677,240 ",International : International Peace Security and Affairs,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3820
13106,Hibiscus Children's Center, 2400 North East Dixie Highway,,4 stars,"$7,470,322 ",Human Services : Children's and Family Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13106
5377,High Desert Museum, 59800 South Highway 97,http://www.highdesertmuseum.org/,4 stars,"$4,708,638 ",Arts Culture Humanities : Museums,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5377
14368,High Hopes, 36 Town Woods Road,http://highhopestr.org/,4 stars,"$1,600,156 ",Health : Patient and Family Support,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14368
